  Abflussmengen durch die Kontrollquerschnitte
  ------------------------------------------- 
              Punktnummern: jeweils der erste Punkt im Nodestring
              21534        26887        28389        27866        61596        65496        62228        61975        65573        33697        53645        54492        64821        49873        1            
  Name:       01           02           03           04           05           06           07           08           09           21           22           Aulauf_Ie_VorAuslauf_Ie_AlAuslauf_Ie_VoHQ10         
  Zeit [h]    Abfluss [m^3/s]
---------------------------------------------
 
    3.2500       67.184       56.357       37.320       35.058       41.817       64.912       63.867       63.839       54.533       16.277        0.000        7.903       45.097        7.593       68.000
    3.3333       67.190       56.357       37.318       35.051       41.698       65.156       64.446       64.421       55.321       16.279        0.000        8.107       45.910        7.747       68.000
    3.4167       67.194       56.357       37.315       35.043       41.655       65.364       64.761       64.736       55.986       16.406       -0.000        8.308       46.699        7.899       68.000
    3.5000       67.198       56.357       37.314       35.040       41.623       65.468       64.969       64.948       56.337       16.275       -0.000        8.453       47.265        7.987       68.000
    3.5833       67.202       56.357       37.313       35.189       41.606       65.536       65.089       65.070       56.472       16.275        0.000        8.497       47.436        8.017       68.000
    3.6667       67.206       56.358       37.312       35.122       41.609       65.583       65.152       65.134       56.534       16.275        0.000        8.511       47.494        8.029       68.000
    3.7500       67.210       56.359       37.309       35.021       41.613       65.616       65.199       65.181       56.577       16.276       -0.000        8.521       47.532        8.037       68.000
    3.8333       67.213       56.360       37.311       35.094       41.613       65.647       65.230       65.213       56.612       16.281       -0.000        8.529       47.563        8.043       68.000
    3.9167       67.215       56.361       37.310       35.093       41.611       65.673       65.259       65.241       56.640       16.280       -0.000        8.535       47.587        8.048       68.000
    4.0000       67.219       56.361       37.309       35.093       41.612       65.693       65.285       65.267       56.665       16.410        0.000        8.540       47.609        8.053       68.000
    4.0833       67.817       56.607       37.408       35.191       41.617       65.713       65.310       65.293       56.691       16.370        0.000        8.546       47.631        8.057       70.000
    4.1667       69.470       57.337       37.709       35.428       41.858       66.134       65.557       65.537       56.831       16.632        0.001        8.560       47.689        8.073       75.000
    4.2500       72.573       58.676       38.293       36.029       42.400       67.038       66.210       66.185       57.301       17.105        0.000        8.643       48.026        8.144       80.000
    4.3333       76.491       60.404       38.984       36.725       43.395       68.722       67.385       67.356       58.164       17.731        0.001        8.778       48.576        8.266       85.000
    4.4167       81.018       62.329       39.740       37.440       44.645       70.823       68.959       68.924       59.281       18.492        0.000        8.985       49.411        8.436       90.000
    4.5000       86.513       64.514       40.619       38.254       46.301       73.889       71.589       71.550       60.773       19.350        0.001        9.221       50.381        8.621       98.000
    4.5833       92.186       66.823       41.612       39.461       48.295       77.438       74.398       74.206       62.956       20.268        0.340        9.492       51.517        8.923       98.000
    4.6667       95.357       68.016       42.220       40.081       49.954       80.697       77.294       77.212       65.366       20.759        2.286        9.930       53.292        9.291       98.000
    4.7500       96.619       68.470       42.429       40.247       50.906       85.707       81.520       81.440       68.105       20.964        3.592       10.433       55.326        9.683       98.000
    4.8333       96.711       68.494       42.461       40.135       51.293       88.581       85.079       85.008       71.078       20.994        4.056       10.961       57.484       10.141       98.000
    4.9167       96.746       68.501       42.468       40.095       51.209       90.971       87.575       87.587       73.498       21.021        4.279       11.502       59.670       10.558       98.000
    5.0000       96.775       68.506       42.469       40.085       50.912       91.131       89.449       89.454       75.755       20.880        4.380       12.014       61.718       10.973       98.000
    5.0833       96.789       68.509       42.468       40.087       50.881       92.768       90.547       90.586       77.230       21.037        4.477       12.364       63.122       11.249       98.000
    5.1667       96.802       68.512       42.469       40.088       50.624       93.423       91.809       91.856       78.457       21.046        4.567       12.653       64.269       11.466       98.000
    5.2500       96.814       68.514       42.468       40.091       50.490       93.721       92.241       92.294       79.443       21.050        4.640       12.939       65.407       11.679       98.000
    5.3333       96.823       68.515       42.468       40.094       50.355       93.793       92.729       92.788       80.048       21.056        4.690       13.129       66.153       11.807       98.000
    5.4167       96.830       68.517       42.468       40.096       50.303       93.929       93.045       93.108       80.353       21.059        4.724       13.195       66.419       11.860       98.000
    5.5000       96.836       68.518       42.468       40.099       50.266       94.012       93.185       93.250       80.485       21.062        4.744       13.224       66.536       11.882       98.000
