  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 19:40    0.023    0.023    0.023    0.023    0.000    0.000   1016.539   1016.539   1016.539       F T
 19700623 19:45    0.023    0.023    0.023    0.023    0.000    0.000   1016.539   1016.539   1016.539       F T
 19700623 19:50    0.023    0.023    0.023    0.023    0.000    0.000   1016.539   1016.539   1016.539       F T
 19700623 19:55    0.023    0.023    0.023    0.023    0.000    0.000   1016.539   1016.539   1016.539       F T
 19700623 20:00    0.021    0.021    0.021    0.021    0.000    0.000   1011.182   1011.182   1011.182       F T
 19700623 20:05    0.021    0.021    0.021    0.021    0.000    0.000   1009.487   1009.487   1009.487       F T
 19700623 20:10    0.021    0.021    0.021    0.021    0.000    0.000   1008.824   1008.824   1008.824       F T
 19700623 20:15    0.021    0.021    0.021    0.021    0.000    0.000   1008.227   1008.227   1008.227       F T
 19700623 20:20    0.021    0.021    0.021    0.021    0.000    0.000   1007.551   1007.551   1007.551       F T
 19700623 20:25    0.021    0.021    0.021    0.021    0.000    0.000   1007.157   1007.157   1007.157       F T
 19700623 20:30    0.021    0.021    0.021    0.021    0.000    0.000   1007.025   1007.025   1007.025       F T
 19700623 20:35    0.021    0.021    0.021    0.021    0.000    0.000   1006.996   1006.996   1006.996       F T
 19700623 20:40    0.021    0.021    0.021    0.021    0.000    0.000   1006.991   1006.991   1006.991       F T
 19700623 20:45    0.021    0.021    0.021    0.021    0.000    0.000   1006.991   1006.991   1006.991       F T
 19700623 20:50    0.021    0.021    0.021    0.021    0.000    0.000   1006.991   1006.991   1006.991       F T
 19700623 20:55    0.021    0.021    0.021    0.021    0.000    0.000   1006.991   1006.991   1006.991       F T
 19700623 21:00    0.019    0.019    0.019    0.019    0.000    0.000   1000.399   1000.399   1000.399       F T
 19700623 21:05    0.018    0.018    0.018    0.018    0.000    0.000    998.207    998.207    998.207       F T
 19700623 21:10    0.018    0.018    0.018    0.018    0.000    0.000    997.318    997.318    997.318       F T
 19700623 21:15    0.018    0.018    0.018    0.018    0.000    0.000    996.713    996.713    996.713       F T
 19700623 21:20    0.018    0.018    0.018    0.018    0.000    0.000    995.829    995.829    995.829       F T
 19700623 21:25    0.018    0.018    0.018    0.018    0.000    0.000    995.242    995.242    995.242       F T
 19700623 21:30    0.018    0.018    0.018    0.018    0.000    0.000    995.032    995.032    995.032       F T
 19700623 21:35    0.018    0.018    0.018    0.018    0.000    0.000    994.984    994.984    994.984       F T
 19700623 21:40    0.018    0.018    0.018    0.018    0.000    0.000    994.976    994.976    994.976       F T
 19700623 21:45    0.018    0.018    0.018    0.018    0.000    0.000    994.975    994.975    994.975       F T
 19700623 21:50    0.018    0.018    0.018    0.018    0.000    0.000    994.975    994.975    994.975       F T
 19700623 21:55    0.018    0.018    0.018    0.018    0.000    0.000    994.975    994.975    994.975       F T
 19700623 22:00    0.017    0.017    0.017    0.017    0.000    0.000    990.976    990.976    990.976       F T
 19700623 22:05    0.017    0.017    0.017    0.017    0.000    0.000    989.654    989.654    989.654       F T
 19700623 22:10    0.017    0.017    0.017    0.017    0.000    0.000    989.118    989.118    989.118       F T
 19700623 22:15    0.017    0.017    0.017    0.017    0.000    0.000    988.804    988.804    988.804       F T
 19700623 22:20    0.017    0.017    0.017    0.017    0.000    0.000    988.281    988.281    988.281       F T
 19700623 22:25    0.017    0.017    0.017    0.017    0.000    0.000    987.905    987.905    987.905       F T
 19700623 22:30    0.017    0.017    0.017    0.017    0.000    0.000    987.763    987.763    987.763       F T
 19700623 22:35    0.017    0.017    0.017    0.017    0.000    0.000    987.729    987.729    987.729       F T
 19700623 22:40    0.017    0.017    0.017    0.017    0.000    0.000    987.724    987.724    987.724       F T
 19700623 22:45    0.017    0.017    0.017    0.017    0.000    0.000    987.723    987.723    987.723       F T
 19700623 22:50    0.017    0.017    0.017    0.017    0.000    0.000    987.723    987.723    987.723       F T
 19700623 22:55    0.017    0.017    0.017    0.017    0.000    0.000    987.723    987.723    987.723       F T
 19700623 23:00    0.016    0.016    0.016    0.016    0.000    0.000    983.189    983.189    983.189       F T
 19700623 23:05    0.016    0.016    0.016    0.016    0.000    0.000    981.645    981.645    981.645       F T
 19700623 23:10    0.016    0.016    0.016    0.016    0.000    0.000    981.009    981.009    981.009       F T
 19700623 23:15    0.016    0.016    0.016    0.016    0.000    0.000    980.634    980.634    980.634       F T
 19700623 23:20    0.016    0.016    0.016    0.016    0.000    0.000    980.109    980.109    980.109       F T
 19700623 23:25    0.016    0.016    0.016    0.016    0.000    0.000    979.668    979.668    979.668       F T
 19700623 23:30    0.016    0.016    0.016    0.016    0.000    0.000    979.466    979.466    979.466       F T
 19700623 23:35    0.016    0.016    0.016    0.016    0.000    0.000    979.408    979.408    979.408       F T
 19700623 23:40    0.016    0.016    0.016    0.016    0.000    0.000    979.397    979.397    979.397       F T
 19700623 23:45    0.016    0.016    0.016    0.016    0.000    0.000    979.395    979.395    979.395       F T
 19700623 23:50    0.016    0.016    0.016    0.016    0.000    0.000    979.395    979.395    979.395       F T
 19700623 23:55    0.016    0.016    0.016    0.016    0.000    0.000    979.395    979.395    979.395       F T
 19700624 00:00    0.016    0.016    0.016    0.016    0.000    0.000    979.395    979.395    979.395       F T
 19700624 00:05    0.012    0.012    0.012    0.012    0.000    0.000    947.998    947.998    947.998       F T
 19700624 00:10    0.010    0.010    0.010    0.010    0.000    0.000    932.642    932.642    932.642       F T
 19700624 00:15    0.010    0.010    0.010    0.010    0.000    0.000    925.044    925.044    925.044       F T
 19700624 00:20    0.010    0.010    0.010    0.010    0.000    0.000    920.221    920.221    920.221       F T
 19700624 00:25    0.010    0.010    0.010    0.010    0.000    0.000    917.828    917.828    917.828       F T
 19700624 00:30    0.010    0.010    0.010    0.010    0.000    0.000    915.038    915.038    915.038       F T
 19700624 00:35    0.010    0.010    0.010    0.010    0.000    0.000    911.493    911.493    911.493       F T
 19700624 00:40    0.010    0.010    0.010    0.010    0.000    0.000    909.290    909.290    909.290       F T
 19700624 00:45    0.010    0.010    0.010    0.010    0.000    0.000    908.508    908.508    908.508       F T
 19700624 00:50    0.010    0.010    0.010    0.010    0.000    0.000    908.329    908.329    908.329       F T
 19700624 00:55    0.010    0.010    0.010    0.010    0.000    0.000    908.301    908.301    908.301       F T
 19700624 01:00    0.009    0.009    0.009    0.009    0.000    0.000    895.986    895.986    895.986       F T
 19700624 01:05    0.009    0.009    0.009    0.009    0.000    0.000    890.381    890.381    890.381       F T
 19700624 01:10    0.009    0.009    0.009    0.009    0.000    0.000    887.946    887.946    887.946       F T
 19700624 01:15    0.009    0.009    0.009    0.009    0.000    0.000    886.424    886.424    886.424       F T
 19700624 01:20    0.009    0.009    0.009    0.009    0.000    0.000    885.673    885.673    885.673       F T
 19700624 01:25    0.009    0.009    0.009    0.009    0.000    0.000    885.213    885.213    885.213       F T
 19700624 01:30    0.009    0.009    0.009    0.009    0.000    0.000    884.086    884.086    884.086       F T
 19700624 01:35    0.009    0.009    0.009    0.009    0.000    0.000    883.164    883.164    883.164       F T
 19700624 01:40    0.009    0.009    0.009    0.009    0.000    0.000    882.787    882.787    882.787       F T
 19700624 01:45    0.009    0.009    0.009    0.009    0.000    0.000    882.693    882.693    882.693       F T
 19700624 01:50    0.009    0.009    0.009    0.009    0.000    0.000    882.677    882.677    882.677       F T
 19700624 01:55    0.009    0.009    0.009    0.009    0.000    0.000    882.675    882.675    882.675       F T
 19700624 02:00    0.008    0.008    0.008    0.008    0.000    0.000    867.163    867.163    867.163       F T
 19700624 02:05    0.008    0.008    0.008    0.008    0.000    0.000    859.473    859.473    859.473       F T
 19700624 02:10    0.008    0.008    0.008    0.008    0.000    0.000    856.137    856.137    856.137       F T
 19700624 02:15    0.008    0.008    0.008    0.008    0.000    0.000    854.041    854.041    854.041       F T
 19700624 02:20    0.008    0.008    0.008    0.008    0.000    0.000    852.979    852.979    852.979       F T
 19700624 02:25    0.008    0.008    0.008    0.008    0.000    0.000    852.571    852.571    852.571       F T
 19700624 02:30    0.008    0.008    0.008    0.008    0.000    0.000    851.536    851.536    851.536       F T
 19700624 02:35    0.008    0.008    0.008    0.008    0.000    0.000    850.244    850.244    850.244       F T
 19700624 02:40    0.008    0.008    0.008    0.008    0.000    0.000    849.481    849.481    849.481       F T
 19700624 02:45    0.008    0.008    0.008    0.008    0.000    0.000    849.216    849.216    849.216       F T
 19700624 02:50    0.008    0.008    0.008    0.008    0.000    0.000    849.156    849.156    849.156       F T
 19700624 02:55    0.008    0.008    0.008    0.008    0.000    0.000    849.147    849.147    849.147       F T
 19700624 03:00    0.007    0.007    0.007    0.007    0.000    0.000    829.011    829.011    829.011       F T
 19700624 03:05    0.007    0.007    0.007    0.007    0.000    0.000    817.884    817.884    817.884       F T
 19700624 03:10    0.007    0.007    0.007    0.007    0.000    0.000    813.074    813.074    813.074       F T
 19700624 03:15    0.006    0.006    0.006    0.006    0.000    0.000    810.059    810.059    810.059       F T
 19700624 03:20    0.006    0.006    0.006    0.006    0.000    0.000    808.479    808.479    808.479       F T
 19700624 03:25    0.006    0.006    0.006    0.006    0.000    0.000    807.859    807.859    807.859       F T
 19700624 03:30    0.006    0.006    0.006    0.006    0.000    0.000    807.396    807.396    807.396       F T
 19700624 03:35    0.006    0.006    0.006    0.006    0.000    0.000    805.770    805.770    805.770       F T
 19700624 03:40    0.006    0.006    0.006    0.006    0.000    0.000    804.271    804.271    804.271       F T
 19700624 03:45    0.006    0.006    0.006    0.006    0.000    0.000    803.600    803.600    803.600       F T
 19700624 03:50    0.006    0.006    0.006    0.006    0.000    0.000    803.420    803.420    803.420       F T
 19700624 03:55    0.006    0.006    0.006    0.006    0.000    0.000    803.388    803.388    803.388       F T
 19700624 04:00    0.006    0.006    0.006    0.006    0.000    0.000    776.271    776.271    776.271       F T
 19700624 04:05    0.005    0.005    0.005    0.005    0.000    0.000    758.959    758.959    758.959       F T
 19700624 04:10    0.005    0.005    0.005    0.005    0.000    0.000    751.477    751.477    751.477       F T
 19700624 04:15    0.005    0.005    0.005    0.005    0.000    0.000    746.874    746.874    746.874       F T
 19700624 04:20    0.005    0.005    0.005    0.005    0.000    0.000    744.356    744.356    744.356       F T
 19700624 04:25    0.005    0.005    0.005    0.005    0.000    0.000    743.333    743.333    743.333       F T
 19700624 04:30    0.005    0.005    0.005    0.005    0.000    0.000    742.994    742.994    742.994       F T
 19700624 04:35    0.005    0.005    0.005    0.005    0.000    0.000    741.932    741.932    741.932       F T
 19700624 04:40    0.005    0.005    0.005    0.005    0.000    0.000    739.824    739.824    739.824       F T
 19700624 04:45    0.005    0.005    0.005    0.005    0.000    0.000    738.149    738.149    738.149       F T
 19700624 04:50    0.005    0.005    0.005    0.005    0.000    0.000    737.431    737.431    737.431       F T
 19700624 04:55    0.005    0.005    0.005    0.005    0.000    0.000    737.238    737.238    737.238       F T
 19700624 05:00    0.006    0.006    0.006    0.006    0.000    0.000    768.229    768.229    768.229       F T
 19700624 05:05    0.007    0.007    0.007    0.007    0.000    0.000    784.788    784.788    784.788       F T
 19700624 05:10    0.007    0.007    0.007    0.007    0.000    0.000    792.673    792.673    792.673       F T
 19700624 05:15    0.007    0.007    0.007    0.007    0.000    0.000    798.127    798.127    798.127       F T
 19700624 05:20    0.007    0.007    0.007    0.007    0.000    0.000    801.003    801.003    801.003       F T
 19700624 05:25    0.007    0.007    0.007    0.007    0.000    0.000    802.123    802.123    802.123       F T
 19700624 05:30    0.007    0.007    0.007    0.007    0.000    0.000    806.044    806.044    806.044       F T
 19700624 05:35    0.007    0.007    0.007    0.007    0.000    0.000    810.496    810.496    810.496       F T
 19700624 05:40    0.007    0.007    0.007    0.007    0.000    0.000    812.909    812.909    812.909       F T
 19700624 05:45    0.007    0.007    0.007    0.007    0.000    0.000    813.695    813.695    813.695       F T
 19700624 05:50    0.007    0.007    0.007    0.007    0.000    0.000    813.865    813.865    813.865       F T
 19700624 05:55    0.007    0.007    0.007    0.007    0.000    0.000    813.891    813.891    813.891       F T
 19700624 06:00    0.010    0.010    0.010    0.010    0.000    0.000    870.447    870.447    870.447       F T
 19700624 06:05    0.010    0.010    0.010    0.010    0.000    0.000    891.105    891.105    891.105       F T
 19700624 06:10    0.011    0.011    0.011    0.011    0.000    0.000    899.163    899.163    899.163       F T
 19700624 06:15    0.011    0.011    0.011    0.011    0.000    0.000    903.997    903.997    903.997       F T
 19700624 06:20    0.011    0.011    0.011    0.011    0.000    0.000    909.544    909.544    909.544       F T
 19700624 06:25    0.011    0.011    0.011    0.011    0.000    0.000    915.771    915.771    915.771       F T
 19700624 06:30    0.011    0.011    0.011    0.011    0.000    0.000    919.442    919.442    919.442       F T
 19700624 06:35    0.011    0.011    0.011    0.011    0.000    0.000    920.709    920.709    920.709       F T
 19700624 06:40    0.011    0.011    0.011    0.011    0.000    0.000    920.994    920.994    920.994       F T
 19700624 06:45    0.011    0.011    0.011    0.011    0.000    0.000    921.039    921.039    921.039       F T
 19700624 06:50    0.011    0.011    0.011    0.011    0.000    0.000    921.044    921.044    921.044       F T
 19700624 06:55    0.011    0.011    0.011    0.011    0.000    0.000    921.044    921.044    921.044       F T
 19700624 07:00    0.013    0.013    0.013    0.013    0.000    0.000    939.774    939.774    939.774       F T
 19700624 07:05    0.013    0.013    0.013    0.013    0.000    0.000    946.377    946.377    946.377       F T
 19700624 07:10    0.013    0.013    0.013    0.013    0.000    0.000    949.059    949.059    949.059       F T
 19700624 07:15    0.013    0.013    0.013    0.013    0.000    0.000    950.856    950.856    950.856       F T
 19700624 07:20    0.013    0.013    0.013    0.013    0.000    0.000    953.388    953.388    953.388       F T
 19700624 07:25    0.013    0.013    0.013    0.013    0.000    0.000    955.120    955.120    955.120       F T
 19700624 07:30    0.013    0.013    0.013    0.013    0.000    0.000    955.765    955.765    955.765       F T
 19700624 07:35    0.013    0.013    0.013    0.013    0.000    0.000    955.918    955.918    955.918       F T
 19700624 07:40    0.013    0.013    0.013    0.013    0.000    0.000    955.943    955.943    955.943       F T
 19700624 07:45    0.013    0.013    0.013    0.013    0.000    0.000    955.946    955.946    955.946       F T
 19700624 07:50    0.013    0.013    0.013    0.013    0.000    0.000    955.947    955.947    955.947       F T
 19700624 07:55    0.013    0.013    0.013    0.013    0.000    0.000    955.946    955.946    955.946       F T
 19700624 08:00    0.018    0.018    0.018    0.018    0.000    0.000    984.562    984.562    984.562       F T
 19700624 08:05    0.019    0.019    0.019    0.019    0.000    0.000    992.045    992.045    992.045       F T
 19700624 08:10    0.019    0.019    0.019    0.019    0.000    0.000    994.388    994.388    994.388       F T
 19700624 08:15    0.019    0.019    0.019    0.019    0.000    0.000    996.837    996.837    996.837       F T
 19700624 08:20    0.019    0.019    0.019    0.019    0.000    0.000    998.857    998.857    998.857       F T
 19700624 08:25    0.019    0.019    0.019    0.019    0.000    0.000    999.813    999.813    999.813       F T
 19700624 08:30    0.019    0.019    0.019    0.019    0.000    0.000   1000.099   1000.099   1000.099       F T
 19700624 08:35    0.019    0.019    0.019    0.019    0.000    0.000   1000.159   1000.159   1000.159       F T
 19700624 08:40    0.019    0.019    0.019    0.019    0.000    0.000   1000.168   1000.168   1000.168       F T
 19700624 08:45    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 08:50    0.019    0.019    0.019    0.019    0.000    0.000   1000.170   1000.170   1000.170       F T
 19700624 08:55    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:00    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:05    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:10    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:15    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:20    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:25    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:30    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:35    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:40    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:45    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:50    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 09:55    0.019    0.019    0.019    0.019    0.000    0.000   1000.169   1000.169   1000.169       F T
 19700624 10:00    0.017    0.017    0.017    0.017    0.000    0.000    987.954    987.954    987.954       F T
 19700624 10:05    0.016    0.016    0.016    0.016    0.000    0.000    983.289    983.289    983.289       F T
 19700624 10:10    0.016    0.016    0.016    0.016    0.000    0.000    981.473    981.473    981.473       F T
 19700624 10:15    0.016    0.016    0.016    0.016    0.000    0.000    980.112    980.112    980.112       F T
 19700624 10:20    0.016    0.016    0.016    0.016    0.000    0.000    978.756    978.756    978.756       F T
 19700624 10:25    0.016    0.016    0.016    0.016    0.000    0.000    977.972    977.972    977.972       F T
 19700624 10:30    0.016    0.016    0.016    0.016    0.000    0.000    977.703    977.703    977.703       F T
 19700624 10:35    0.016    0.016    0.016    0.016    0.000    0.000    977.641    977.641    977.641       F T
 19700624 10:40    0.016    0.016    0.016    0.016    0.000    0.000    977.631    977.631    977.631       F T
 19700624 10:45    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 10:50    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 10:55    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:00    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:05    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:10    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:15    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:20    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:25    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:30    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:35    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:40    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:45    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:50    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 11:55    0.016    0.016    0.016    0.016    0.000    0.000    977.630    977.630    977.630       F T
 19700624 12:00    0.015    0.015    0.015    0.015    0.000    0.000    972.084    972.084    972.084       F T
 19700624 12:05    0.015    0.015    0.015    0.015    0.000    0.000    970.033    970.033    970.033       F T
 19700624 12:10    0.015    0.015    0.015    0.015    0.000    0.000    969.263    969.263    969.263       F T
 19700624 12:15    0.015    0.015    0.015    0.015    0.000    0.000    968.746    968.746    968.746       F T
 19700624 12:20    0.015    0.015    0.015    0.015    0.000    0.000    968.180    968.180    968.180       F T
 19700624 12:25    0.015    0.015    0.015    0.015    0.000    0.000    967.830    967.830    967.830       F T
 19700624 12:30    0.015    0.015    0.015    0.015    0.000    0.000    967.705    967.705    967.705       F T
 19700624 12:35    0.015    0.015    0.015    0.015    0.000    0.000    967.676    967.676    967.676       F T
 19700624 12:40    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 12:45    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 12:50    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 12:55    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:00    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:05    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:10    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:15    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:20    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:25    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:30    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:35    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:40    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:45    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:50    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 13:55    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:00    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:05    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:10    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:15    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:20    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:25    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:30    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:35    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:40    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:45    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:50    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 14:55    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700624 15:00    0.013    0.013    0.013    0.013    0.000    0.000    954.123    954.123    954.123       F T
 19700624 15:05    0.012    0.012    0.012    0.012    0.000    0.000    948.460    948.460    948.460       F T
 19700624 15:10    0.012    0.012    0.012    0.012    0.000    0.000    946.227    946.227    946.227       F T
 19700624 15:15    0.012    0.012    0.012    0.012    0.000    0.000    945.047    945.047    945.047       F T
 19700624 15:20    0.012    0.012    0.012    0.012    0.000    0.000    943.543    943.543    943.543       F T
 19700624 15:25    0.012    0.012    0.012    0.012    0.000    0.000    942.480    942.480    942.480       F T
 19700624 15:30    0.012    0.012    0.012    0.012    0.000    0.000    942.067    942.067    942.067       F T
 19700624 15:35    0.012    0.012    0.012    0.012    0.000    0.000    941.964    941.964    941.964       F T
 19700624 15:40    0.012    0.012    0.012    0.012    0.000    0.000    941.946    941.946    941.946       F T
 19700624 15:45    0.012    0.012    0.012    0.012    0.000    0.000    941.944    941.944    941.944       F T
 19700624 15:50    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 15:55    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:00    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:05    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:10    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:15    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:20    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:25    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:30    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:35    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:40    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:45    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:50    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 16:55    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700624 17:00    0.014    0.014    0.014    0.014    0.000    0.000    957.467    957.467    957.467       F T
 19700624 17:05    0.014    0.014    0.014    0.014    0.000    0.000    962.383    962.383    962.383       F T
 19700624 17:10    0.014    0.014    0.014    0.014    0.000    0.000    963.733    963.733    963.733       F T
 19700624 17:15    0.014    0.014    0.014    0.014    0.000    0.000    964.357    964.357    964.357       F T
 19700624 17:20    0.014    0.014    0.014    0.014    0.000    0.000    964.938    964.938    964.938       F T
 19700624 17:25    0.014    0.014    0.014    0.014    0.000    0.000    965.297    965.297    965.297       F T
 19700624 17:30    0.014    0.014    0.014    0.014    0.000    0.000    965.428    965.428    965.428       F T
 19700624 17:35    0.014    0.014    0.014    0.014    0.000    0.000    965.459    965.459    965.459       F T
 19700624 17:40    0.014    0.014    0.014    0.014    0.000    0.000    965.465    965.465    965.465       F T
 19700624 17:45    0.014    0.014    0.014    0.014    0.000    0.000    965.465    965.465    965.465       F T
 19700624 17:50    0.014    0.014    0.014    0.014    0.000    0.000    965.466    965.466    965.466       F T
 19700624 17:55    0.014    0.014    0.014    0.014    0.000    0.000    965.466    965.466    965.466       F T
 19700624 18:00    0.019    0.019    0.019    0.019    0.000    0.000    994.911    994.911    994.911       F T
 19700624 18:05    0.021    0.021    0.021    0.021    0.000    0.000   1002.010   1002.010   1002.010       F T
 19700624 18:10    0.021    0.021    0.021    0.021    0.000    0.000   1004.019   1004.019   1004.019       F T
 19700624 18:15    0.021    0.021    0.021    0.021    0.000    0.000   1005.600   1005.600   1005.600       F T
 19700624 18:20    0.021    0.021    0.021    0.021    0.000    0.000   1007.015   1007.015   1007.015       F T
 19700624 18:25    0.021    0.021    0.021    0.021    0.000    0.000   1007.754   1007.754   1007.754       F T
 19700624 18:30    0.021    0.021    0.021    0.021    0.000    0.000   1007.990   1007.990   1007.990       F T
 19700624 18:35    0.021    0.021    0.021    0.021    0.000    0.000   1008.040   1008.040   1008.040       F T
 19700624 18:40    0.021    0.021    0.021    0.021    0.000    0.000   1008.049   1008.049   1008.049       F T
 19700624 18:45    0.021    0.021    0.021    0.021    0.000    0.000   1008.050   1008.050   1008.050       F T
 19700624 18:50    0.021    0.021    0.021    0.021    0.000    0.000   1008.050   1008.050   1008.050       F T
 19700624 18:55    0.021    0.021    0.021    0.021    0.000    0.000   1008.050   1008.050   1008.050       F T
