  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 04:55    0.005    0.005    0.005    0.005    0.000    0.000    737.238    737.238    737.238       F F
 19700623 05:00    0.006    0.006    0.006    0.006    0.000    0.000    768.230    768.230    768.230       F F
 19700623 05:05    0.007    0.007    0.007    0.007    0.000    0.000    784.789    784.789    784.789       F F
 19700623 05:10    0.007    0.007    0.007    0.007    0.000    0.000    792.674    792.674    792.674       F F
 19700623 05:15    0.007    0.007    0.007    0.007    0.000    0.000    798.127    798.127    798.127       F F
 19700623 05:20    0.007    0.007    0.007    0.007    0.000    0.000    801.003    801.003    801.003       F F
 19700623 05:25    0.007    0.007    0.007    0.007    0.000    0.000    802.123    802.123    802.123       F F
 19700623 05:30    0.007    0.007    0.007    0.007    0.000    0.000    806.044    806.044    806.044       F T
 19700623 05:35    0.007    0.007    0.007    0.007    0.000    0.000    810.496    810.496    810.496       F T
 19700623 05:40    0.007    0.007    0.007    0.007    0.000    0.000    812.909    812.909    812.909       F T
 19700623 05:45    0.007    0.007    0.007    0.007    0.000    0.000    813.695    813.695    813.695       F T
 19700623 05:50    0.007    0.007    0.007    0.007    0.000    0.000    813.865    813.865    813.865       F T
 19700623 05:55    0.007    0.007    0.007    0.007    0.000    0.000    813.891    813.891    813.891       F T
 19700623 06:00    0.010    0.010    0.010    0.010    0.000    0.000    870.448    870.448    870.448       F T
 19700623 06:05    0.010    0.010    0.010    0.010    0.000    0.000    891.106    891.106    891.106       F T
 19700623 06:10    0.011    0.011    0.011    0.011    0.000    0.000    899.164    899.164    899.164       F T
 19700623 06:15    0.011    0.011    0.011    0.011    0.000    0.000    903.997    903.997    903.997       F T
 19700623 06:20    0.011    0.011    0.011    0.011    0.000    0.000    909.544    909.544    909.544       F T
 19700623 06:25    0.011    0.011    0.011    0.011    0.000    0.000    915.771    915.771    915.771       F T
 19700623 06:30    0.011    0.032    0.011    0.032    0.000    0.000    440.548    440.548    440.548       T T
 19700623 06:35    0.011    0.148    0.011    0.148    0.000    0.000    173.757    173.757    173.757       T T
 19700623 06:40    0.011    0.378    0.011    0.227    0.000    0.152    146.945    146.945    146.945       T T
 19700623 06:45    0.011    0.533    0.011    0.228    0.000    0.304    143.007    143.007    143.007       T T
 19700623 06:50    0.011    0.481    0.011    0.228    0.000    0.253    143.864    143.864    143.864       T T
 19700623 06:55    0.011    0.321    0.011    0.225    0.000    0.096    150.061    150.061    150.061       T T
 19700623 07:00    0.013    0.185    0.013    0.185    0.000    0.000    164.547    164.547    164.547       T T
 19700623 07:05    0.013    0.112    0.013    0.112    0.000    0.000    191.413    191.413    191.413       T T
 19700623 07:10    0.013    0.081    0.013    0.081    0.000    0.000    222.807    222.807    222.807       T T
 19700623 07:15    0.013    0.069    0.013    0.069    0.000    0.000    247.204    247.204    247.204       T T
 19700623 07:20    0.013    0.064    0.013    0.064    0.000    0.000    263.970    263.970    263.970       T T
 19700623 07:25    0.013    0.061    0.013    0.061    0.000    0.000    277.576    277.576    277.576       T T
 19700623 07:30    0.013    0.059    0.013    0.059    0.000    0.000    291.183    291.183    291.183       T T
 19700623 07:35    0.013    0.057    0.013    0.057    0.000    0.000    306.447    306.447    306.447       T T
 19700623 07:40    0.013    0.054    0.013    0.054    0.000    0.000    326.714    326.714    326.714       T T
 19700623 07:45    0.013    0.051    0.013    0.051    0.000    0.000    355.331    355.331    355.331       T T
 19700623 07:50    0.013    0.047    0.013    0.047    0.000    0.000    393.845    393.845    393.845       T T
 19700623 07:55    0.013    0.043    0.013    0.043    0.000    0.000    445.770    445.770    445.770       T T
 19700623 08:00    0.018    0.039    0.018    0.039    0.000    0.000    527.161    527.161    527.161       T T
 19700623 08:05    0.019    0.035    0.019    0.035    0.000    0.000    625.884    625.884    625.884       T T
 19700623 08:10    0.019    0.033    0.019    0.033    0.000    0.000    716.650    716.650    716.650       T T
 19700623 08:15    0.019    0.031    0.019    0.031    0.000    0.000    794.463    794.463    794.463       T T
 19700623 08:20    0.019    0.029    0.019    0.029    0.000    0.000    857.984    857.984    857.984       T T
 19700623 08:25    0.019    0.028    0.019    0.028    0.000    0.000    905.670    905.670    905.670       T T
 19700623 08:30    0.019    0.027    0.019    0.027    0.000    0.000    933.533    933.533    933.533       T T
 19700623 08:35    0.019    0.022    0.019    0.022    0.000    0.000    924.909    924.909    924.909       T T
 19700623 08:40    0.019    0.021    0.019    0.021    0.000    0.000    933.969    933.969    933.969       T T
 19700623 08:45    0.019    0.020    0.019    0.020    0.000    0.000    946.817    946.817    946.817       T T
 19700623 08:50    0.019    0.020    0.019    0.020    0.000    0.000    957.773    957.773    957.773       T T
 19700623 08:55    0.019    0.020    0.019    0.020    0.000    0.000    966.729    966.729    966.729       T T
 19700623 09:00    0.019    0.020    0.019    0.020    0.000    0.000    973.948    973.948    973.948       T T
