  *WEL.ASC - BEK                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Becken : BEK             
  
 Datum_Zeit                  Qtzu             Qzu           Qtab1            Qab1          QabKue          QabBue          WSPABS          WSPREL          VolBek            O2zu           O2Bek           O2ab1           O2ab2           CSBzu          CSBBek          CSBab1          CSBab2           BSBzu          BSBBEK          BSBab1          BSBab2           NH4zu          NH4Bek          NH4ab1          NH4ab2             Tzu            TBek            Tab1            Tab2            pHzu           pHBEK           pHab1           pHab2           ALKzu          ALKBek          ALKab1          ALKab2           SICzu          SICBek          SICab1          SICab2             SSL  G  S
 -                          cbm/s           cbm/s           cbm/s           cbm/s           cbm/s           cbm/s             mNN               m          Tsdcbm            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l            mg/l              °C              °C              °C              °C               -               -               -               -          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l          mmol/l              kg  -  -
   19700623 01:00         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       824.44501         0.00000       824.44501         0.00000       374.74771         0.00000       374.74771         0.00000        29.97982         0.00000        29.97982         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:05         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       813.70288         0.00000       813.70288         0.00000       369.86496         0.00000       369.86496         0.00000        29.58919         0.00000        29.58919         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:10         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.91656         0.00000       812.91656         0.00000       369.50757         0.00000       369.50757         0.00000        29.56060         0.00000        29.56060         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:15         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90723         0.00000       812.90723         0.00000       369.50333         0.00000       369.50333         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:20         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:25         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:30         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:35         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:40         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
   19700623 01:45         0.00030         0.00030         0.00030         0.00030         0.00000         0.00000         0.00000         0.00000         0.00000         7.76361         0.00000         7.76361         0.00000       812.90729         0.00000       812.90729         0.00000       369.50330         0.00000       369.50330         0.00000        29.56026         0.00000        29.56026         0.00000        16.62500         0.00000        16.62500         0.00000         6.50000         0.00000         6.50000         0.00000         1.00000         0.00000         1.00000         0.00000         1.63096         0.00000         1.63096         0.00000         0.00000  F  F
