  *WEL.ASC - FKA                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Flaeche: FKA             
  
   Datum   Zeit    VP    VW  Svab   hvu  PSIu  SUM(hN)     hN  hNeffb  hNeffu    Qtrab      Qab    QabVG    QabUB   CSab(3)
     -      -    mm/d    mm    mm    mm     -      mm      mm      mm      mm    cbm/s    cbm/s    cbm/s    cbm/s      mg/l
 19700623 03:20  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 03:25  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 03:30  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 03:35  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 03:40  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 03:45  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 03:50  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 03:55  0.83   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:00  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:05  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:10  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:15  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:20  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:25  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:30  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:35  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:40  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:45  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:50  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 04:55  0.99   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0004   0.0004   0.0000   0.0000   831.298  F F
 19700623 05:00  1.32   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F F
 19700623 05:05  1.32   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F F
 19700623 05:10  1.32   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F F
 19700623 05:15  1.32   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F F
 19700623 05:20  1.32   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F F
 19700623 05:25  1.32   8.4  0.00  9.67  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F F
 19700623 05:30  1.32   8.4  0.00  9.67  0.00   0.208   0.208   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  T T
