  *WEL.ASC - FKA                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Flaeche: FKA             
  
   Datum   Zeit    VP    VW  Svab   hvu  PSIu  SUM(hN)     hN  hNeffb  hNeffu    Qtrab      Qab    QabVG    QabUB   CSab(3)
     -      -    mm/d    mm    mm    mm     -      mm      mm      mm      mm    cbm/s    cbm/s    cbm/s    cbm/s      mg/l
 19700624 05:15  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:20  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:25  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:30  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:35  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:40  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:45  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:50  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 05:55  1.33  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0005   0.0005   0.0000   0.0000   857.719  F T
 19700624 06:00  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:05  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:10  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:15  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:20  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:25  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:30  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:35  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:40  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:45  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:50  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 06:55  1.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   897.535  F T
 19700624 07:00  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:05  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:10  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:15  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:20  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:25  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:30  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:35  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:40  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:45  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:50  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 07:55  2.16  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0006   0.0006   0.0000   0.0000   912.909  F T
 19700624 08:00  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:05  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:10  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:15  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:20  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:25  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:30  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:35  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:40  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:45  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:50  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 08:55  2.49  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:00  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:05  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:10  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:15  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:20  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:25  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:30  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:35  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:40  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:45  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:50  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 09:55  3.32  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   983.082  F T
 19700624 10:00  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:05  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:10  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:15  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:20  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:25  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:30  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:35  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:40  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:45  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:50  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 10:55  4.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:00  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:05  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:10  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:15  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:20  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:25  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:30  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:35  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:40  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:45  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:50  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 11:55  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0010   0.0010   0.0000   0.0000   978.070  F T
 19700624 12:00  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:05  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:10  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:15  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:20  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:25  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:30  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:35  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:40  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:45  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:50  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 12:55  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:00  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:05  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:10  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:15  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:20  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:25  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:30  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:35  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:40  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:45  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:50  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 13:55  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   971.892  F T
 19700624 14:00  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:05  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:10  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:15  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:20  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:25  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:30  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:35  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:40  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:45  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:50  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 14:55  6.63  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:00  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:05  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:10  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:15  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:20  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:25  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:30  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:35  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:40  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:45  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:50  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 15:55  6.47  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   967.414  F T
 19700624 16:00  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:05  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:10  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:15  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:20  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:25  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:30  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:35  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:40  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:45  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:50  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 16:55  5.97  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0009   0.0009   0.0000   0.0000   961.776  F T
 19700624 17:00  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:05  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:10  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:15  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:20  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:25  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:30  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:35  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:40  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:45  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:50  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 17:55  5.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   953.561  F T
 19700624 18:00  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:05  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:10  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:15  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:20  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:25  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:30  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:35  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:40  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:45  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:50  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 18:55  4.31  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0008   0.0008   0.0000   0.0000   947.199  F T
 19700624 19:00  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:05  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:10  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:15  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:20  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:25  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:30  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:35  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:40  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:45  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:50  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 19:55  3.48  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   937.096  F T
 19700624 20:00  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:05  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:10  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:15  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:20  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:25  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:30  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:35  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:40  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:45  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:50  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
 19700624 20:55  2.82  17.0  0.00  7.32  0.00   0.000   0.000   0.000   0.000   0.0007   0.0007   0.0000   0.0000   933.521  F T
