  *WEL.ASC - GER                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation   : 13.10.2015 11:30 Uhr
   Wellenausgabe - Gerinne: GER             
  
 Datum_Zeit                    Qzu              Qab             Qtzu             Qtab           Qurbzu           Qnatzu           Qurbab           Qnatab              WSP            Aquer            VDyna             MVol            cO2zu            cO2ab           O2Saet           cBSBzu           cBSBab           cAFSzu           cAFSab           cCSBzu           cCSBab             cTOC             cPO4             cNH4             cNO2             cNO3              Tzu              Tab               pH              ALK              SIC              NH3  G  S
 -                           cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s            cbm/s                m               qm              m/s                %             mg/l             mg/l                %             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l             mg/l               °C               °C                -           mmol/l           mmol/l             mg/l  -  -
 23.06.1970 01:05          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.61717          9.47113         97.85593          2.95589          2.92049         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.66675         16.70268          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:10          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.61894          9.47119         97.85654          2.95593          2.92052         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.66182         16.69915          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:15          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.61992          9.47123         97.85694          2.95596          2.92054         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.65720         16.69523          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:20          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62057          9.47125         97.85720          2.95599          2.92056         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.65227         16.69142          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:25          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62100          9.47127         97.85739          2.95601          2.92058         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.64729         16.68799          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:30          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62128          9.47128         97.85750          2.95603          2.92059         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.64271         16.68486          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:35          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62146          9.47129         97.85757          2.95605          2.92061         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.63874         16.68183          7.96860          3.97083          4.05600          0.00471  F  F
 23.06.1970 01:40          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62158          9.47424         97.85533          2.95607          2.92069         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.63527         16.67848          7.96860          3.97083          4.05600          0.00470  F  F
 23.06.1970 01:45          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62166          9.50164         97.83443          2.95608          2.92140         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.63201         16.67239          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 01:50          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62172          9.50197         97.83779          2.95609          2.92145         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.62880         16.66627          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 01:55          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62176          9.50213         97.83948          2.95610          2.92149         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.62568         16.66137          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:00          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62583          9.50223         97.84044          2.95615          2.92152         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.61977         16.65672          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:05          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.62932          9.50229         97.84106          2.95620          2.92155         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.61388         16.65178          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:10          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63109          9.50233         97.84148          2.95624          2.92157         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.60941         16.64684          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:15          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63208          9.50235         97.84174          2.95627          2.92159         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.60525         16.64232          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:20          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63272          9.50237         97.84192          2.95630          2.92161         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.60071         16.63841          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:25          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63315          9.50238         97.84204          2.95632          2.92163         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.59604         16.63495          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:30          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63343          9.50239         97.84212          2.95634          2.92164         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.59170         16.63170          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:35          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63362          9.50240         97.84219          2.95636          2.92165         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.58789         16.62850          7.96860          3.97083          4.05600          0.00465  F  F
 23.06.1970 02:40          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63374          9.50536         97.83986          2.95637          2.92173         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.58453         16.62511          7.96860          3.97083          4.05600          0.00464  F  F
 23.06.1970 02:45          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63382          9.53290         97.81836          2.95639          2.92243         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.58134         16.61920          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 02:50          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63388          9.53323         97.82172          2.95640          2.92248         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.57819         16.61344          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 02:55          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63392          9.53339         97.82343          2.95641          2.92251         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.57511         16.60900          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:00          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63394          9.53349         97.82441          2.95641          2.92254         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.57227         16.60481          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:05          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63396          9.53355         97.82504          2.95642          2.92256         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56985         16.60026          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:10          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63397          9.53359         97.82545          2.95642          2.92259         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56792         16.59562          7.96860          3.97083          4.05600          0.00459  F  F
 23.06.1970 03:15          0.07291          0.07291          0.07291          0.07291          0.00071          0.07220          0.00071          0.07220          0.00945          0.03033          2.40403          0.97237          8.63397          9.53362         97.82572          2.95643          2.92261         14.85415         14.85415          5.94166          5.94166          5.94166          0.09903          0.16662          0.04951          3.16888         16.56647         16.59133          7.96860          3.97083          4.05600          0.00459  F  F
